A̱o,Mes,TraficoTotal,RecaudacionTotal,PorcentajeEvasionPromedio
2014,1,20355124,191907822550,1.4869888475836432E-4
2014,2,15596319,155773578650,9.247027741083223E-5
2014,3,17393211,173301885200,2.6246719160104988E-5
2014,4,18324074,180183969400,2.628120893561104E-5
2014,5,17140135,174954265650,3.9525691699604744E-5
2014,6,18058417,177880256900,0.0
2014,7,18296142,185278127150,2.635046113306983E-5
2014,8,18600732,183655734750,0.0
2014,9,17093885,172395201900,1.3210039630118891E-5
2014,10,18745079,185726593200,3.95778364116095E-5
2014,11,18541716,184092102700,3.5842293906810036E-5
2014,12,22380171,212549421400,0.0
2015,1,22414994,215771166500,5.2840158520475564E-5
2015,2,17167758,178245831200,1.201923076923077E-5
2015,3,19346109,193539695600,0.0
2015,4,19574022,197748856100,4.722550177095632E-5
2015,5,19512086,198356048350,2.4067388688327318E-5
2015,6,20423099,205383842650,5.668934240362812E-5
2015,7,20722776,216227353250,0.0
2015,8,20932536,215897888950,2.2831050228310503E-5
2015,9,19621921,208769987850,8.667388949079091E-5
2015,10,22086387,228100928400,2.157497303128371E-5
2015,11,21278524,219422960950,5.988023952095808E-5
2015,12,25946526,254918768250,3.147953830010493E-5
2016,1,25569081,259051587000,2.8184892897406993E-5
2016,2,19511673,214219639600,5.208333333333334E-5
2016,3,22948207,241210187700,3.147953830010493E-5
2016,4,19812055,216327839700,3.759398496240601E-5
2016,5,20151444,210422765300,7.007007007007008E-5
2016,6,19836317,205797777300,3.944773175542407E-5
2016,7,21160885,212412959700,9.487666034155598E-6
2016,8,21805229,237630120100,2.862595419847328E-5
2016,9,20249349,221015731200,4.003813155386082E-4
2016,10,21903292,234066622000,3.787878787878788E-5
2016,11,21164843,228185062600,6.422018348623854E-5
2016,12,26635463,279689719900,4.672897196261683E-5
2017,1,26291948,282716610100,3.455083909180652E-5
2017,2,19983249,232712209900,4.528985507246377E-5
2017,3,22203948,256183879800,4.5955882352941176E-5
2017,4,23473263,263226011400,2.7675276752767528E-5
2017,5,21974510,250187365500,2.8142589118198874E-5
2017,6,23039288,263076701400,2.806361085126286E-5
2017,7,23228751,264085783200,1.0731707317073171E-4
2017,8,22843769,261842723700,1.9398642095053345E-5
2017,9,20993091,245243814700,2.938295788442703E-5
2017,10,22485460,257311886100,9.881422924901186E-6
2017,11,21271306,241195147300,1.998001998001998E-5
2017,12,25638955,278162926300,3.141361256544502E-5
2018,1,24891822,277492997600,1.6882386043894204E-5
2018,2,18561486,219100817800,6.256517205422314E-5
2018,3,22264924,255861224600,0.0
2018,4,20215123,238916744600,1.0695187165775402E-5
2018,5,20289220,238964108500,0.0
2018,6,21261597,246257919400,0.0
2018,7,22442326,261453348200,1.072961373390558E-5
2018,8,21946558,258234201400,0.0
2018,9,20188920,237858091900,0.0
2018,10,21943549,257349694400,0.0023202614379084965
2018,11,18927441,225895612700,0.0038496583143507973
2018,12,22739700,258561729900,0.0
2019,1,21952706,259228485800,0.0
2019,2,16727914,210122705500,0.0
2019,3,18847261,232819579600,0.0
2019,4,19405455,233457724400,0.0
2019,5,18169694,224533236900,0.0
2019,6,19141917,224175883300,0.0
2019,7,19391396,229171875100,0.0
2019,8,19311923,226360072000,2.1953896816684962E-5
2019,9,17803793,214085442600,0.0
2019,10,19504568,236827824300,0.0
2019,11,18806092,225657483500,0.0
2019,12,22854178,266762378700,1.1261261261261261E-5
2020,1,22070604,264053962500,3.6607687614399024E-5
2020,2,17385177,225306882800,1.0706638115631692E-5
2020,3,13100313,163903766300,0.7416934487021013
2020,4,6172676,225257000,0.0
2020,5,9345319,246071500,0.0
2020,6,10323455,152473642300,1.0380622837370242E-4
2020,7,11831019,173257099600,5.7471264367816097E-5
2020,8,11936413,173611358600,3.4965034965034965E-5
2020,9,16017255,219692579300,3.484320557491289E-5
2020,10,18869207,249756315800,1.1682242990654205E-5
2020,11,18130441,241120375000,3.472222222222222E-5
2020,12,21121290,271507521100,1.0563380281690139E-4
2021,1,18474759,247934693900,1.0565568676196397E-4
2021,2,16943602,233022574000,2.199074074074074E-4
2021,3,19729170,267301305300,4.618937644341802E-5
2021,4,15992316,223477711300,7.482993197278912E-4
2021,5,12680201,165837744000,0.03543550165380375
2021,6,16568568,251595427300,3.4965034965034965E-4
2021,7,19295342,279865226100,1.680672268907563E-4
2021,8,20100053,284019326600,0.002855191256830601
2021,9,21237337,302341326600,0.0015875000000000004
2021,10,22449070,328639260400,1.8691588785046725E-4
2021,11,22294384,320260044000,4.778972520908005E-5
2021,12,26514837,365259596300,6.105006105006105E-5
2022,1,25275491,358624497900,1.431238332296204E-4
2022,2,16589369,258554708300,7.309941520467836E-5
